task_id,asset_id,block_id,section_id,corridor_id,corridor_name,date,window_start,window_end,task_type,department,crew_type,priority,required_duration_min,duration,overdue_days,safety_critical,is_joint_possession,coordination_status,bundled_with,downtime_saved_min,freight_density,power_isolation_required,restrictions,planning_status,approval_status,approved_by,solver
TASK001,ASSET001,BLK_NDLS-GZB_0104_3,NDLS-GZB,NDLS-GZB,NDLS-GZB,2026-01-04,2026-01-04 23:00,2026-01-04 03:00,Rail fracture inspection,ENGINEERING,Track Relaying Train (TRT),P1,240,240,14,True,False,INDEPENDENT,None (Single Task),0,High,Yes,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK002,ASSET002,BLK_NDLS-GZB_0103_2,NDLS-GZB,NDLS-GZB,NDLS-GZB,2026-01-03,2026-01-03 23:00,2026-01-03 03:00,Signal relay replacement,SMT,S&T Relay Gang,P2,240,240,5,False,False,INDEPENDENT,None (Single Task),0,High,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK003,ASSET003,BLK_GZB-CNB_0104_31,GZB-CNB,GZB-CNB,GZB-CNB,2026-01-04,2026-01-04 23:00,2026-01-04 03:00,OHE insulator replacement,TRD,Tower Wagon Gang,P2,240,240,5,False,False,INDEPENDENT,None (Single Task),0,High,No,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK004,ASSET004,BLK_GZB-CNB_0103_30,GZB-CNB,GZB-CNB,GZB-CNB,2026-01-03,2026-01-03 23:00,2026-01-03 03:00,Track geometry correction,ENGINEERING,Track Relaying Train (TRT),P3,240,240,5,False,False,INDEPENDENT,None (Single Task),0,High,Yes,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK005,ASSET005,BLK_ALD-MGS_0101_42,ALD-MGS,ALD-MGS,ALD-MGS,2026-01-01,2026-01-01 23:00,2026-01-01 02:00,Point machine servicing,SMT,S&T Relay Gang,P2,180,180,5,False,False,INDEPENDENT,None (Single Task),0,High,Yes,Single line working only,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK006,ASSET006,BLK_ALD-MGS_0102_43,ALD-MGS,ALD-MGS,ALD-MGS,2026-01-02,2026-01-02 23:00,2026-01-02 02:00,Battery bank inspection,TRD,Tower Wagon Gang,P3,120,120,5,False,False,INDEPENDENT,None (Single Task),0,High,No,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK007,ASSET007,BLK_MGS-HWH_0104_52,MGS-HWH,MGS-HWH,MGS-HWH,2026-01-04,2026-01-04 23:00,2026-01-04 03:00,Bridge expansion-joint inspection,ENGINEERING,Track Relaying Train (TRT),P1,240,240,14,True,False,INDEPENDENT,None (Single Task),0,High,Yes,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK008,ASSET008,BLK_MGS-HWH_0101_49,MGS-HWH,MGS-HWH,MGS-HWH,2026-01-01,2026-01-01 23:00,2026-01-01 02:00,Optical-fibre cable testing,SMT,S&T Relay Gang,P3,180,180,5,False,False,INDEPENDENT,None (Single Task),0,High,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK010,ASSET010,BLK_ALD-MGS_0103_44,ALD-MGS,ALD-MGS,ALD-MGS,2026-01-03,2026-01-03 23:00,2026-01-03 03:00,Automatic block signal testing,SMT,S&T Relay Gang,P1,240,240,14,True,False,INDEPENDENT,None (Single Task),0,High,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK011,ASSET011,BLK_MGS-HWH_0103_51,MGS-HWH,MGS-HWH,MGS-HWH,2026-01-03,2026-01-03 23:00,2026-01-03 03:00,Traction transformer maintenance,TRD,Tower Wagon Gang,P2,240,240,5,False,False,INDEPENDENT,None (Single Task),0,High,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
